"t","ax","az","mx"
1289198,196,165,-112
1289238,216,181,-91
1289277,245,270,-91
1289317,228,146,-74
1289357,184,204,-74
1289397,155,170,-65
1289437,119,205,-56
1289477,76,242,-56
1289517,39,225,-67
1289557,-39,224,-67
1289598,21,233,-72
1289638,40,201,-83
1289678,7,224,-83
1289718,-14,192,-95
1289758,-34,208,-95
1289798,-83,212,-110
1289839,-72,222,-116
1289879,-75,176,-116
1289918,-40,211,-117
1289957,-51,194,-117
1289997,-65,180,-116
1290037,-27,192,-131
1290077,-4,212,-131
1290117,28,169,-129
1290158,50,228,-129
1290199,49,266,-120
1290239,59,215,-122
1290279,65,219,-122
1290319,40,205,-124
1290359,13,257,-124
1290399,45,221,-123
1290439,40,179,-124
1290480,32,201,-124
1290521,36,198,-126
1290560,44,174,-126
1290599,29,188,-131
1290638,32,187,-131
1290678,41,195,-139
1290718,46,185,-138
1290758,40,200,-138
1290798,40,213,-131
1290839,9,200,-131
1290879,15,201,-124
1290919,4,218,-128
1290959,-16,216,-128
1290999,-45,198,-125
1291039,-31,226,-125
1291079,-6,217,-124
1291120,-9,224,-120
1291160,30,198,-120
1291200,62,177,-126
1291239,105,196,-126
1291278,153,176,-123
1291318,195,204,-123
1291358,239,181,-123
1291398,2,157,-122
1291438,234,179,-122
1291479,148,223,-135
1291520,154,170,-133
1291560,133,223,-133
1291600,63,230,-130
